event_name,event_start_at,event_end_at,receiver_uid,event_type,event_time,first_follow,bind_date,brand_id
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 17:14:38,2020-09-03 21:54:26,2021-07-06 12:38:19,1
測試B,2022-09-16,2022-09-30,Ua459f9806408ef3c49574df52a6db824,enter,2022-09-20 17:13:36,2021-09-23 23:26:42,2022-08-30 16:20:37,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 17:13:07,2020-09-03 21:54:26,2021-07-06 12:38:19,1
測試B,2022-09-16,2022-09-30,Ue7068eeabc1fc9892223ae80e5ff6d36,enter,2022-09-20 17:12:47,,0000-00-00 00:00:00,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 17:09:11,2020-09-03 21:54:26,2021-07-06 12:38:19,1
測試B,2022-09-16,2022-09-30,Uea0283f82ce1ed736ba640a1f08aed4d,enter,2022-09-20 17:08:31,,2021-10-11 22:48:40,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,U4bcf0a9fab63825cf511bb08c2ec8038,enter,2022-09-20 17:07:42,2021-04-01 17:17:00,2021-04-02 18:04:10,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 17:07:35,2020-09-03 21:54:26,2021-07-06 12:38:19,1
測試B,2022-09-16,2022-09-30,U3a61e4fe6dcc5517193f8b997ecddcfd,enter,2022-09-20 17:06:08,2021-04-22 22:51:27,,1
測試B,2022-09-16,2022-09-30,Uea0283f82ce1ed736ba640a1f08aed4d,enter,2022-09-20 17:04:38,,2021-10-11 22:48:40,1
測試B,2022-09-16,2022-09-30,Uddab0b480dfdac2f79e926769c415671,enter,2022-09-20 17:01:48,2021-08-30 18:37:33,2021-11-24 13:16:12,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 16:55:24,2020-09-03 21:54:26,2021-07-06 12:38:19,1
測試B,2022-09-16,2022-09-30,U3a61e4fe6dcc5517193f8b997ecddcfd,enter,2022-09-20 16:55:15,2021-04-22 22:51:27,,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uc20bf730cb5ef6acb670fac9f78c9d9a,enter,2022-09-20 16:54:17,2022-09-05 15:39:02,2017-05-31 22:50:46,1
測試B,2022-09-16,2022-09-30,Ue7068eeabc1fc9892223ae80e5ff6d36,enter,2022-09-20 16:54:05,,0000-00-00 00:00:00,1
測試B,2022-09-16,2022-09-30,Ue7068eeabc1fc9892223ae80e5ff6d36,enter,2022-09-20 16:51:58,,0000-00-00 00:00:00,1
測試B,2022-09-16,2022-09-30,U200e40ef101d145978276dc0134b5471,enter,2022-09-20 16:51:48,,2020-08-31 14:47:10,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 16:49:42,2020-09-03 21:54:26,2021-07-06 12:38:19,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 16:48:09,2020-09-03 21:54:26,2021-07-06 12:38:19,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 16:46:17,2020-09-03 21:54:26,2021-07-06 12:38:19,1
測試B,2022-09-16,2022-09-30,U26f8b1472eb7fa88d63786b17ed679cd,enter,2022-09-20 16:46:08,,2019-04-08 23:11:14,1
測試B,2022-09-16,2022-09-30,U6920171de4b088d2f719be0caf888bdf,enter,2022-09-20 16:45:56,2022-04-27 19:23:15,,1
測試B,2022-09-16,2022-09-30,U26f8b1472eb7fa88d63786b17ed679cd,enter,2022-09-20 16:42:55,,2019-04-08 23:11:14,1
測試B,2022-09-16,2022-09-30,Uf164313ee42902771267bf5e3e45f4b2,enter,2022-09-20 16:42:05,2020-03-11 11:47:38,2022-09-08 17:07:22,1
測試B,2022-09-16,2022-09-30,Ue7068eeabc1fc9892223ae80e5ff6d36,enter,2022-09-20 16:41:50,,0000-00-00 00:00:00,1
測試B,2022-09-16,2022-09-30,Uf164313ee42902771267bf5e3e45f4b2,enter,2022-09-20 16:41:23,2020-03-11 11:47:38,2022-09-08 17:07:22,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,U779cdf337865d14c9fe59c8e655166ba,enter,2022-09-20 16:40:21,,0000-00-00 00:00:00,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,U4a813f88cd72060425b26e784d0ec3fd,enter,2022-09-20 16:39:53,,2021-07-24 18:37:41,1
測試B,2022-09-16,2022-09-30,U3a61e4fe6dcc5517193f8b997ecddcfd,enter,2022-09-20 16:38:43,2021-04-22 22:51:27,,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 16:36:21,2020-09-03 21:54:26,2021-07-06 12:38:19,1
測試B,2022-09-16,2022-09-30,Uddab0b480dfdac2f79e926769c415671,enter,2022-09-20 16:33:41,2021-08-30 18:37:33,2021-11-24 13:16:12,1
測試B,2022-09-16,2022-09-30,U4bfdb08a3b3aecf643579448a76481c1,enter,2022-09-20 16:33:03,,0000-00-00 00:00:00,1
測試B,2022-09-16,2022-09-30,Uddab0b480dfdac2f79e926769c415671,enter,2022-09-20 16:32:23,2021-08-30 18:37:33,2021-11-24 13:16:12,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 16:28:59,2020-09-03 21:54:26,2021-07-06 12:38:19,1
測試B,2022-09-16,2022-09-30,Ub76f300d2d523bc25c265ab2cfb19d80,enter,2022-09-20 16:24:25,2020-08-07 13:24:32,2022-03-07 19:49:49,1
